File_Name,Original_Width,Original_Height,Assigned_Label,Data_Split
0.jpg,500,375,Cat,Validation
1.jpg,300,281,Cat,Train
10.jpg,489,500,Cat,Validation
100.jpg,403,500,Cat,Train
1000.jpg,150,150,Cat,Train
10000.jpg,431,360,Cat,Train
10001.jpg,500,375,Cat,Train
10002.jpg,500,471,Cat,Train
10003.jpg,500,375,Cat,Train
10004.jpg,320,240,Cat,Train
10005.jpg,320,177,Cat,Train
10006.jpg,461,320,Cat,Train
10007.jpg,220,300,Cat,Train
10008.jpg,500,375,Cat,Train
10009.jpg,473,500,Cat,Train
1001.jpg,336,500,Cat,Validation
10010.jpg,500,386,Cat,Train
10011.jpg,358,448,Cat,Train
10012.jpg,250,167,Cat,Validation
10013.jpg,500,375,Cat,Train
10014.jpg,373,500,Cat,Validation
10015.jpg,500,340,Cat,Train
10016.jpg,180,198,Cat,Train
10017.jpg,500,281,Cat,Validation
10018.jpg,500,454,Cat,Train
10019.jpg,247,301,Cat,Train
1002.jpg,380,407,Cat,Train
10020.jpg,320,424,Cat,Validation
10021.jpg,423,418,Cat,Train
10022.jpg,500,449,Cat,Validation
10023.jpg,350,336,Cat,Validation
10024.jpg,325,432,Cat,Validation
10025.jpg,153,252,Cat,Train
10026.jpg,400,492,Cat,Train
10027.jpg,500,333,Cat,Train
10028.jpg,180,135,Cat,Train
10029.jpg,386,500,Cat,Train
1003.jpg,259,270,Cat,Train
10030.jpg,500,463,Cat,Train
10031.jpg,500,375,Cat,Train
10032.jpg,160,120,Cat,Train
10033.jpg,500,375,Cat,Train
10034.jpg,500,391,Cat,Validation
10035.jpg,357,391,Cat,Train
10036.jpg,300,264,Cat,Train
10037.jpg,435,276,Cat,Train
10038.jpg,300,300,Cat,Train
10039.jpg,361,500,Cat,Train
1004.jpg,500,375,Cat,Train
10040.jpg,500,375,Cat,Train
10041.jpg,500,441,Cat,Train
10042.jpg,320,480,Cat,Validation
10043.jpg,500,407,Cat,Validation
10044.jpg,378,274,Cat,Validation
10045.jpg,500,375,Cat,Train
10046.jpg,374,336,Cat,Train
10047.jpg,452,500,Cat,Validation
10048.jpg,385,385,Cat,Train
10049.jpg,232,422,Cat,Train
1005.jpg,500,334,Cat,Validation
10050.jpg,450,470,Cat,Train
10051.jpg,433,450,Cat,Validation
10052.jpg,346,500,Cat,Train
10053.jpg,300,400,Cat,Train
10054.jpg,499,391,Cat,Train
10055.jpg,500,403,Cat,Train
10056.jpg,248,300,Cat,Train
10057.jpg,332,500,Cat,Train
10058.jpg,500,462,Cat,Train
10059.jpg,432,395,Cat,Validation
1006.jpg,500,375,Cat,Train
10060.jpg,500,427,Cat,Validation
10061.jpg,350,262,Cat,Train
10062.jpg,500,360,Cat,Validation
10063.jpg,375,500,Cat,Train
10064.jpg,500,313,Cat,Train
10065.jpg,200,193,Cat,Validation
10066.jpg,222,250,Cat,Validation
10067.jpg,427,388,Cat,Train
10068.jpg,321,500,Cat,Train
10069.jpg,500,391,Cat,Validation
1007.jpg,500,375,Cat,Train
10070.jpg,398,320,Cat,Train
10071.jpg,500,302,Cat,Train
10072.jpg,333,500,Cat,Validation
10073.jpg,498,479,Cat,Train
10074.jpg,500,438,Cat,Train
10075.jpg,288,216,Cat,Train
10076.jpg,500,333,Cat,Validation
10077.jpg,381,339,Cat,Train
10078.jpg,250,183,Cat,Train
10079.jpg,216,216,Cat,Train
1008.jpg,329,368,Cat,Train
10080.jpg,500,347,Cat,Train
10081.jpg,500,334,Cat,Train
10082.jpg,500,375,Cat,Validation
10083.jpg,500,375,Cat,Validation
10084.jpg,468,500,Cat,Train
10085.jpg,500,406,Cat,Train
10086.jpg,500,333,Cat,Train
10087.jpg,350,300,Cat,Train
10088.jpg,374,500,Cat,Train
10089.jpg,300,217,Cat,Train
1009.jpg,354,400,Cat,Train
10090.jpg,500,375,Cat,Train
10091.jpg,141,182,Cat,Validation
10092.jpg,360,268,Cat,Train
10093.jpg,500,375,Cat,Train
10094.jpg,288,216,Cat,Train
10095.jpg,500,375,Cat,Validation
10096.jpg,500,375,Cat,Train
10097.jpg,368,412,Cat,Train
10098.jpg,500,375,Cat,Train
10099.jpg,500,375,Cat,Validation
101.jpg,297,200,Cat,Validation
1010.jpg,500,375,Cat,Train
10100.jpg,223,220,Cat,Train
10101.jpg,500,407,Cat,Train
10102.jpg,500,375,Cat,Train
10103.jpg,341,300,Cat,Train
10104.jpg,500,375,Cat,Train
10105.jpg,500,282,Cat,Train
10106.jpg,500,375,Cat,Train
10107.jpg,86,86,Cat,Train
10108.jpg,500,375,Cat,Validation
10109.jpg,500,366,Cat,Train
1011.jpg,500,274,Cat,Train
10110.jpg,286,448,Cat,Validation
10111.jpg,500,375,Cat,Train
10112.jpg,300,470,Cat,Train
10113.jpg,432,498,Cat,Train
10114.jpg,302,500,Cat,Validation
10115.jpg,339,360,Cat,Validation
10116.jpg,431,500,Cat,Train
10117.jpg,447,404,Cat,Train
10118.jpg,438,424,Cat,Train
10119.jpg,180,463,Cat,Train
1012.jpg,500,375,Cat,Train
10120.jpg,500,375,Cat,Train
10121.jpg,500,375,Cat,Train
10122.jpg,185,198,Cat,Train
10123.jpg,241,441,Cat,Train
10124.jpg,450,338,Cat,Train
10125.jpg,259,346,Cat,Validation
10126.jpg,500,375,Cat,Validation
10127.jpg,220,240,Cat,Train
10128.jpg,500,391,Cat,Train
10129.jpg,320,240,Cat,Train
1013.jpg,500,481,Cat,Validation
10130.jpg,500,422,Cat,Validation
10131.jpg,500,375,Cat,Train
10132.jpg,500,338,Cat,Train
10133.jpg,350,262,Cat,Validation
10134.jpg,500,375,Cat,Train
10135.jpg,256,288,Cat,Train
10136.jpg,375,500,Cat,Validation
10137.jpg,500,374,Cat,Validation
10138.jpg,300,201,Cat,Train
10139.jpg,282,369,Cat,Train
1014.jpg,344,336,Cat,Train
10140.jpg,500,400,Cat,Train
10141.jpg,468,500,Cat,Train
10142.jpg,375,500,Cat,Train
10143.jpg,500,375,Cat,Validation
10144.jpg,400,300,Cat,Validation
10145.jpg,500,376,Cat,Train
10146.jpg,381,500,Cat,Train
10147.jpg,399,500,Cat,Train
10148.jpg,500,375,Cat,Validation
10149.jpg,375,500,Cat,Train
1015.jpg,500,377,Cat,Train
10150.jpg,148,221,Cat,Train
10151.jpg,500,375,Cat,Train
10152.jpg,500,375,Cat,Validation
10153.jpg,375,500,Cat,Validation
10154.jpg,285,421,Cat,Train
10155.jpg,500,375,Cat,Validation
10156.jpg,482,500,Cat,Train
